Date,Eggs_Price
2014-01-01,2.008
2015-01-01,2.113
2016-01-01,2.328
2017-01-01,1.599
2018-01-01,1.769
2019-01-01,1.554
2020-01-01,1.461
2021-01-01,1.466
2022-01-01,1.929
2023-01-01,4.823
2024-01-01,2.522
